4949	5254	305
21392	21541	149
19964	20424	460
1908	1997	89
19010	19105	95
26155	26344	189
5628	5841	213
24140	24332	192
6039	6051	12
9690	10136	446
12882	13360	478
8216	8616	400
31402	31793	391
21919	22011	92
3862	4130	268
12973	13216	243
26869	26957	88
32704	32856	152
14789	14981	192
18532	19022	490
10389	10730	341
9289	9658	369
957	1127	170
5784	5892	108
15052	15397	345
30599	30845	246
13506	13683	177
7212	7270	58
22144	22467	323
12430	12873	443
19836	19997	161
30722	31017	295
29369	29835	466
26549	26587	38
23031	23189	158
20357	20638	281
24871	24927	56
1301	1424	123
21537	21964	427
17696	17879	183
30873	31146	273
16141	16581	440
5711	6149	438
32452	32881	429
20359	20725	366
10433	10633	200
23993	24206	213
15462	15749	287
1673	2006	333
20630	21036	406
23801	23817	16
32383	32841	458
8926	9388	462
28343	28404	61
24209	24622	413
15499	15698	199
30950	31179	229
9108	9140	32
30562	30902	340
11147	11601	454
9896	10101	205
18013	18134	121
18741	18764	23
5250	5273	23
7757	8089	332
17291	17615	324
21813	22074	261
15099	15498	399
16547	16591	44
2904	2999	95
24179	24243	64
21378	21692	314
1947	2351	404
4163	4310	147
23649	24111	462
2598	2880	282
16588	16871	283
21901	22001	100
32088	32116	28
6398	6749	351
22509	22710	201
3518	4001	483
14610	15005	395
28321	28683	362
12639	12838	199
18720	18816	96
29488	29637	149
25772	26008	236
5281	5525	244
13378	13591	213
11702	11761	59
1600	2044	444
9945	10242	297
26231	26387	156
19338	19342	4
26241	26244	3
30034	30127	93
16468	16845	377
25336	25760	424
1816	1966	150
6427	7290	863
25433	25943	510
10580	11331	751
22485	23009	524
15617	16217	600
3037	3785	748
16618	17293	675
6306	7292	986
3804	4318	514
22118	23032	914
29270	30269	999
9942	10850	908
25989	26863	874
14747	15495	748
6770	7739	969
32556	33287	731
9339	10263	924
15846	16456	610
22016	22564	548
32094	32982	888
9822	10428	606
15350	15876	526
13345	14032	687
8878	9811	933
14197	14844	647
11069	11949	880
30942	31751	809
27745	28335	590
8233	8895	662
32883	33497	614
28579	29107	528
14910	15719	809
16264	17035	771
7185	8065	880
19902	20730	828
17683	18261	578
13763	14593	830
18647	19312	665
9445	10195	750
9520	10084	564
7857	8593	736
19015	19950	935
26029	26944	915
26858	27545	687
23626	24545	919
31527	32146	619
29204	29713	509
15130	15814	684
28972	29674	702
31747	32686	939
16376	17345	969
6555	7435	880
27417	28272	855
29097	29792	695
2973	3525	552
7120	7756	636
23926	24769	843
21419	22332	913
6699	7280	581
18716	19298	582
27598	28372	774
19168	19988	820
3118	4026	908
32615	33210	595
25677	26385	708
8163	8728	565
16405	17259	854
27040	27620	580
27206	27863	657
14739	15704	965
17587	18446	859
34357	34998	641
12462	13084	622
11154	12114	960
23489	24068	579
15772	16509	737
17567	18153	586
21702	22363	661
3161	3891	730
35022	35578	556
26581	27291	710
3546	4394	848
17789	18505	716
10183	11154	971
31540	32485	945
26558	27537	979
4238	4991	753
26632	27511	879
31040	32032	992
31267	31952	685
21461	22259	798
31509	32015	506
32931	33806	875
16896	17602	706
9470	10332	862
23799	24612	813
28331	29118	787
4112	4917	805
11159	11953	794
19130	19943	813
35273	35823	550
34641	35233	592
5014	5871	857
18672	19218	546
15380	16378	998
11143	12119	976
4049	4950	901
14893	15484	591
24004	24594	590
32695	33298	603
27779	28711	932
34185	35036	851
4023	5006	983
13484	14252	768
12749	13425	676
19745	20650	905
9711	10247	536
26485	27035	550
22067	22907	840
13462	14108	646
8722	9601	879
28645	29254	609
33051	33915	864
14220	14806	586
15848	16722	874
16146	16801	655
23890	24807	917
4141	4799	658
34273	35008	735
19927	20883	956
31622	32616	994
11683	12664	981
33677	34537	860
6994	7673	679
17613	18562	949
15009	15927	918
30754	31557	803
15206	15989	783
32029	33005	976
13275	13902	627
9977	10972	995
30010	30761	751
21969	22769	800
3722	4412	690
12305	13246	941
29112	29859	747
4139	5064	925
28393	29204	811
31371	32312	941
31247	31943	696
12236	12944	708
28346	29149	803
12076	12711	635
17970	18718	748
15677	16477	800
29634	30258	624
17118	17839	721
23382	24049	667
6250	7163	913
5705	6647	942
4399	5063	664
32384	34179	1795
24362	25550	1188
7075	8943	1868
35544	36867	1323
8925	10862	1937
20384	21837	1453
27793	29574	1781
24608	26505	1897
4216	5354	1138
25325	26805	1480
17392	19039	1647
25479	27192	1713
29335	31134	1799
20364	22229	1865
17689	19033	1344
21547	23204	1657
35398	36615	1217
9098	11450	2352
10774	13438	2664
16380	18662	2282
24705	26795	2090
10319	12688	2369
15211	17279	2068
12164	14207	2043
17918	20128	2210
23346	26319	2973
23724	26570	2846
26234	28561	2327
26563	28958	2395
28988	31331	2343
9281	11643	2362
12171	14741	2570
28393	30838	2445
11615	14607	2992
17814	20224	2410
31370	33625	2255
29392	32123	2731
21230	23609	2379
6045	8624	2579
5868	8321	2453
1945	4284	2339
12917	15926	3009
13726	16757	3031
34976	38053	3077
26370	29692	3322
4837	7916	3079
31849	35282	3433
14649	18431	3782
30089	33352	3263
4629	8393	3764
32463	35555	3092
8301	11406	3105
16116	19903	3787
11750	15737	3987
8913	12685	3772
5444	8914	3470
7028	10819	3791
98601	102736	4135
127611	131934	4323
119533	123978	4445
100488	105326	4838
120314	125163	4849
115270	120267	4997
119591	124388	4797
120668	125546	4878
108656	113524	4868
116679	121339	4660
104684	109077	4393
117620	121927	4307
121087	125097	4010
123290	128359	5069
109660	115490	5830
125601	131245	5644
106633	112605	5972
104380	110189	5809
118554	124088	5534
99664	105213	5549
105652	111394	5742
117585	123047	5462
122895	128247	5352
126552	132099	5547
129962	135779	5817
29065	58404	29339
19025	32095	13070
15836	46295	30459
13059	37634	24575
12639	45038	32399
22237	53202	30965
30470	57874	27404
6527	26217	19690
31115	55662	24547
30354	54034	23680
9730	22378	12648
30974	56131	25157
