9145	9192	47	
23047	23053	6	
20089	20183	94	
1983	1991	8	
10001	10086	85	
1038	1058	20	
26558	26633	75	
17322	17399	77	
16389	16454	65	
6821	6847	26	
404	428	24	
28065	28097	32	
4921	4997	76	
27019	27038	19	
29148	29167	19	
7559	7638	79	
15832	15914	82	
7625	7678	53	
7594	7625	31	
2950	3130	180	
2528	2632	104	
17965	18067	102	
2320	2457	137	
2820	3001	181	
28448	28575	127	
9771	9928	157	
30978	31157	179	
18501	18624	123	
7945	8137	192	
3022	3221	199	
25357	25518	161	
13804	13935	131	
16595	16734	139	
23597	23744	147	
2959	3080	121	
19047	19161	114	
15159	15294	135	
22005	22197	192	
27483	27637	154	
31782	31950	168	
4901	5063	162	
29376	29528	152	
14483	14650	167	
3596	3718	122	
8148	8248	100	
7525	7651	126	
16685	16849	164	
11109	11214	105	
34458	34601	143	
13786	13898	112	
4322	4503	181	
21840	21945	105	
4077	4214	137	
26040	26157	117	
27472	27641	169	
8042	8177	135	
17644	17832	188	
17520	17651	131	
4957	5081	124	
15154	15305	151	
24613	24738	125	
19571	19674	103	
25814	25968	154	
21799	21970	171	
4238	4340	102	
8165	8325	160	
15196	15334	138	
16683	16809	126	
34287	34404	117	
7236	7356	120	
11585	11704	119	
30580	30709	129	
21952	22091	139	
16077	16177	100	
4659	4814	155	
24484	24606	122	
10276	10393	117	
23006	23120	114	
23385	23516	131	
28691	28795	104	
14919	15093	174	
6453	6571	118	
15726	15870	144	
5958	6126	168	
11941	12072	131	
22022	22144	122	
10438	10539	101	
31057	31176	119	
11466	11659	193	
15216	15380	164	
4378	4504	126	
32318	32492	174	
21232	21339	107	
15217	15333	116	
34463	34590	127	
11203	11339	136	
29934	30064	130	
21483	21663	180	
7750	7869	119	
21526	21674	148	
12007	12158	151	
8679	8797	118	
10677	10822	145	
4059	4160	101	
17376	17492	116	
17874	17984	110	
16912	17055	143	
3588	3691	103	
20275	20414	139	
6795	6936	141	
7360	7466	106	
11420	11577	157	
17502	17659	157	
14000	14150	150	
14304	14415	111	
26822	26931	109	
16548	16745	197	
17249	17390	141	
20401	20518	117	
6414	6604	190	
10738	10889	151	
8057	8216	159	
10393	10561	168	
31065	31196	131	
8399	8576	177	
21665	21825	160	
10108	10236	128	
2681	2826	145	
16679	16872	193	
23600	23774	174	
14783	14955	172	
15044	15192	148	
12312	12417	105	
12914	13017	103	
3775	3951	176	
26152	26282	130	
32803	32997	194	
15529	15643	114	
7785	7956	171	
8208	8339	131	
24291	24420	129	
31705	31891	186	
33909	34066	157	
20782	20954	172	
5847	6036	189	
4782	4883	101	
9933	10083	150	
8960	9081	121	
24472	24667	195	
6749	6900	151	
11777	11894	117	
15910	16097	187	
32218	32370	152	
17731	17840	109	
20453	20567	114	
21791	21965	174	
13507	13630	123	
21657	21795	138	
25950	26103	153	
12776	13060	284	
18333	18561	228	
17374	17666	292	
32782	32989	207	
16259	16533	274	
15848	16092	244	
9612	9866	254	
26097	26322	225	
7821	8065	244	
16768	17022	254	
31942	32240	298	
11550	11781	231	
27257	27547	290	
28134	28361	227	
4373	4630	257	
5183	5473	290	
12799	13048	249	
3918	4175	257	
