33108	33158	50	
29267	29332	65	
7102	7124	22	
22832	22863	31	
14024	14086	62	
13536	13628	92	
8179	8276	97	
28831	28845	14	
26409	26460	51	
8312	8374	62	
26304	26327	23	
26632	26652	20	
3247	3274	27	
11988	12073	85	
18816	18883	67	
8791	8868	77	
18285	18311	26	
19582	19589	7	
20436	20454	18	
16445	16498	53	
380	387	7	
8733	8830	97	
15273	15310	37	
4146	4202	56	
25504	25568	64	
11415	11484	69	
26099	26149	50	
20376	20450	74	
6685	6781	96	
9587	9623	36	
27380	27466	86	
15016	15071	55	
26792	26801	9	
15335	15350	15	
10040	10077	37	
28016	28034	18	
3895	3935	40	
7370	7420	50	
842	911	69	
5008	5021	13	
32429	32476	47	
19252	19346	94	
4339	4402	63	
27102	27104	2	
23677	23690	13	
18745	18760	15	
30585	30681	96	
3556	3652	96	
22685	22780	95	
4170	4205	35	
12285	12347	62	
7889	7904	15	
20689	20709	20	
22904	22929	25	
4573	4597	24	
11787	11873	86	
17774	17865	91	
13877	13895	18	
12257	12268	11	
32543	32641	98	
7770	7843	73	
30991	31065	74	
1008	1051	43	
6467	6531	64	
16100	16173	73	
28043	28118	75	
27628	27637	9	
9966	10009	43	
27296	27383	87	
24832	24887	55	
30339	30402	63	
9892	9986	94	
31195	31269	74	
31603	31677	74	
32407	32482	75	
27547	27615	68	
24128	24191	63	
26483	26514	31	
6493	6499	6	
28198	28223	25	
30452	30460	8	
19236	19240	4	
20837	20865	28	
27638	27650	12	
13629	13701	72	
4156	4192	36	
13300	13385	85	
22779	22838	59	
4447	4503	56	
31892	31954	62	
11580	11657	77	
8122	8143	21	
20146	20198	52	
7034	7091	57	
13522	13621	99	
12767	12823	56	
4132	4186	54	
29986	30031	45	
19000	19007	7	
26670	26708	38	
15680	15765	85	
6055	6078	23	
16776	16795	19	
13369	13381	12	
13674	13754	80	
28527	28563	36	
24520	24587	67	
8111	8194	83	
22060	22154	94	
28607	28694	87	
18269	18341	72	
7529	7576	47	
20068	20116	48	
2880	2965	85	
13435	13497	62	
10756	10805	49	
17126	17149	23	
31826	31852	26	
2633	2665	32	
15255	15350	95	
17305	17385	80	
23999	24010	11	
11859	11893	34	
946	1031	85	
3935	3963	28	
4920	4933	13	
13809	13816	7	
32365	32458	93	
10475	10487	12	
33080	33149	69	
25186	25236	50	
