22459	22819	360
28828	29245	417
28553	28700	147
16820	17151	331
31915	32124	209
14611	14742	131
31798	32278	480
20575	20601	26
12893	13197	304
1563	1967	404
18684	18964	280
32370	32384	14
11603	11935	332
31454	31756	302
25976	26095	119
31978	32430	452
21058	21186	128
7879	8021	142
2417	2667	250
429	622	193
18725	18892	167
24199	24543	344
10915	11105	190
3836	3969	133
5884	6110	226
8759	9045	286
8941	9418	477
20923	21017	94
20507	20757	250
27889	28081	192
26379	26672	293
2155	2531	376
21783	21838	55
4024	4226	202
20014	20444	430
32747	32925	178
8096	8494	398
27912	28372	460
26268	26391	123
7271	7631	360
9344	9411	67
19291	19525	234
24071	24128	57
30157	30233	76
16336	16649	313
13658	13868	210
30228	30468	240
33072	33145	73
12948	13434	486
28653	28966	313
3299	3691	392
18830	19027	197
13564	13912	348
31155	31541	386
12698	12879	181
15902	16146	244
4277	4685	408
7981	8367	386
19560	19887	327
2536	2866	330
20747	21029	282
7337	7599	262
21923	22309	386
32301	32756	455
761	831	70
20608	20806	198
6296	6347	51
4056	4471	415
33116	33205	89
32275	32309	34
3858	4004	146
24155	24396	241
21447	21573	126
8369	8587	218
17457	17936	479
20489	20972	483
7911	8121	210
19869	20134	265
19317	19353	36
15452	15646	194
8427	8673	246
9440	9857	417
18972	19175	203
10078	10333	255
16443	16933	490
22383	22868	485
2247	2263	16
2665	3065	400
11161	11554	393
14017	14390	373
7656	7739	83
12102	12519	417
1828	1945	117
22361	22662	301
9079	9121	42
7056	7269	213
11115	11369	254
17970	18008	38
31699	31726	27
2432	2490	58
29292	29679	387
18279	18773	494
10843	11340	497
29972	30328	356
6585	6600	15
10875	11215	340
14358	14446	88
13107	13210	103
11310	11628	318
11853	12316	463
11201	11504	303
7878	7905	27
1392	1521	129
28790	29086	296
3728	3972	244
21163	21252	89
23581	23825	244
29452	29608	156
1318	1334	16
29561	29562	1
25110	25202	92
11138	11412	274
29776	30268	492
2475	2906	431
29806	30232	426
10595	10609	14
13929	14031	102
28342	28411	69
22163	22368	205
17566	17835	269
25954	26082	128
17362	17395	33
1219	1706	487
25487	25721	234
11803	12010	207
32685	32996	311
3797	4151	354
19420	19426	6
14286	14460	174
1726	2110	384
2397	2414	17
865	1250	385
6884	7313	429
22250	22614	364
2594	2870	276
18107	18313	206
26670	26831	161
16950	17283	333
14613	14788	175
1920	2087	167
15588	15676	88
14319	14511	192
27901	28065	164
315	682	367
27710	27767	57
8410	8606	196
32518	33324	806
34772	35305	533
2742	3718	976
35166	36075	909
14049	14692	643
9233	9934	701
24385	25302	917
15037	15782	745
24535	25095	560
25878	26427	549
31820	32414	594
15176	15749	573
8416	9401	985
19730	20423	693
14175	14754	579
6339	7095	756
30304	30945	641
5746	6688	942
27870	28488	618
11617	12516	899
13460	14026	566
8729	9249	520
33887	34455	568
23065	23657	592
4990	5591	601
31969	32828	859
34284	34994	710
21248	21949	701
20138	20966	828
28592	29106	514
17515	18092	577
31031	31992	961
21508	22418	910
9556	10475	919
4028	4647	619
17243	18005	762
32956	33594	638
23039	23725	686
32298	33125	827
15221	16191	970
29126	29674	548
7594	8411	817
17053	17918	865
34465	35227	762
24636	25330	694
10667	11641	974
4571	5539	968
33085	33603	518
4463	5263	800
16468	17113	645
6326	7004	678
26721	27492	771
22134	22983	849
8023	8749	726
34151	35019	868
5144	5971	827
5687	6647	960
34192	35184	992
6982	7573	591
17543	18456	913
29047	29720	673
16784	17424	640
22860	23536	676
30858	31464	606
28075	28624	549
21980	22555	575
13115	13847	732
23463	24088	625
13293	14142	849
11174	12154	980
21877	22670	793
15624	16200	576
25090	25877	787
21887	22418	531
31590	32282	692
7734	8630	896
25785	26756	971
24862	25719	857
22742	23567	825
19032	19633	601
27074	27621	547
14686	15467	781
3598	4516	918
32973	33657	684
26685	28489	1804
23960	25827	1867
6766	7949	1183
36177	37806	1629
11509	12695	1186
19662	20785	1123
34398	35724	1326
7134	8460	1326
26895	28335	1440
15693	16989	1296
25653	27107	1454
20669	22760	2091
26030	28676	2646
5537	7717	2180
20903	23779	2876
3405	6145	2740
17927	20000	2073
8081	10798	2717
20802	23086	2284
24073	27147	3074
9339	12854	3515
19388	23206	3818
109405	114225	4820
128228	132623	4395
123900	127953	4053
101416	105564	4148
39753	45090	5337
40455	46001	5546
25820	31792	5972
43828	49264	5436
16058	21699	5641
14836	21039	6203
13959	23309	9350
13877	23227	9350
